Rank,Club,Country,Level,Elo,From,To
9,Chelsea,ENG,1,1887.828125,3/11/2021,3/11/2021
9,Chelsea,ENG,1,1891.218506,3/12/2021,3/13/2021
9,Chelsea,ENG,1,1886.857056,3/14/2021,3/16/2021
9,Chelsea,ENG,1,1887.009277,3/17/2021,3/17/2021
7,Chelsea,ENG,1,1903.79541,3/18/2021,3/18/2021
7,Chelsea,ENG,1,1898.072632,3/19/2021,4/3/2021
9,Chelsea,ENG,1,1870.998779,4/4/2021,4/6/2021
9,Chelsea,ENG,1,1867.904053,4/7/2021,4/7/2021
9,Chelsea,ENG,1,1881.696777,4/8/2021,4/8/2021
9,Chelsea,ENG,1,1881.997192,4/9/2021,4/10/2021
8,Chelsea,ENG,1,1889.639893,4/11/2021,4/13/2021
8,Chelsea,ENG,1,1885.751221,4/14/2021,4/14/2021
8,Chelsea,ENG,1,1885.597778,4/15/2021,4/15/2021
8,Chelsea,ENG,1,1891.163818,4/16/2021,4/20/2021
9,Chelsea,ENG,1,1885.72998,4/21/2021,4/24/2021
8,Chelsea,ENG,1,1892.148682,4/25/2021,4/27/2021
7,Chelsea,ENG,1,1895.331177,4/28/2021,4/28/2021
7,Chelsea,ENG,1,1896.671753,4/29/2021,4/29/2021
7,Chelsea,ENG,1,1896.949829,4/30/2021,5/1/2021
7,Chelsea,ENG,1,1900.477661,5/2/2021,5/4/2021
7,Chelsea,ENG,1,1901.648438,5/5/2021,5/5/2021
6,Chelsea,ENG,1,1922.119995,5/6/2021,5/6/2021
6,Chelsea,ENG,1,1919.585571,5/7/2021,5/8/2021
4,Chelsea,ENG,1,1931.407349,5/9/2021,5/12/2021
6,Chelsea,ENG,1,1920.435913,5/13/2021,5/13/2021
7,Chelsea,ENG,1,1920.435913,5/14/2021,5/16/2021
6,Chelsea,ENG,1,1920.435913,5/17/2021,5/18/2021
6,Chelsea,ENG,1,1925.528442,5/19/2021,5/23/2021
6,Chelsea,ENG,1,1913.170776,5/24/2021,5/26/2021
7,Chelsea,ENG,1,1912.233276,5/27/2021,5/29/2021
6,Chelsea,ENG,1,1923.202026,5/30/2021,8/14/2021
6,Chelsea,ENG,1,1927.902344,8/15/2021,8/19/2021
6,Chelsea,ENG,1,1926.951294,8/20/2021,8/22/2021
5,Chelsea,ENG,1,1936.312012,8/23/2021,8/26/2021
4,Chelsea,ENG,1,1937.57666,8/27/2021,8/28/2021
5,Chelsea,ENG,1,1938.490234,8/29/2021,9/11/2021
4,Chelsea,ENG,1,1944.110352,9/12/2021,9/12/2021
5,Chelsea,ENG,1,1944.110352,9/13/2021,9/14/2021
4,Chelsea,ENG,1,1942.388184,9/15/2021,9/15/2021
5,Chelsea,ENG,1,1944.679688,9/16/2021,9/16/2021
5,Chelsea,ENG,1,1945.270508,9/17/2021,9/19/2021
4,Chelsea,ENG,1,1955.009644,9/20/2021,9/22/2021
5,Chelsea,ENG,1,1955.009644,9/23/2021,9/25/2021
5,Chelsea,ENG,1,1947.824219,9/26/2021,9/28/2021
4,Chelsea,ENG,1,1947.641968,9/29/2021,9/29/2021
4,Chelsea,ENG,1,1936.64978,9/30/2021,9/30/2021
4,Chelsea,ENG,1,1933.437012,10/1/2021,10/2/2021
4,Chelsea,ENG,1,1936.932495,10/3/2021,10/16/2021
4,Chelsea,ENG,1,1940.585571,10/17/2021,10/19/2021
4,Chelsea,ENG,1,1944.349487,10/20/2021,10/20/2021
4,Chelsea,ENG,1,1949.028442,10/21/2021,10/21/2021
4,Chelsea,ENG,1,1945.672363,10/22/2021,10/23/2021
4,Chelsea,ENG,1,1949.853638,10/24/2021,10/30/2021
4,Chelsea,ENG,1,1955.094971,10/31/2021,11/2/2021
4,Chelsea,ENG,1,1957.138428,11/3/2021,11/3/2021
4,Chelsea,ENG,1,1959.393799,11/4/2021,11/4/2021
4,Chelsea,ENG,1,1955.779175,11/5/2021,11/6/2021
4,Chelsea,ENG,1,1948.954834,11/7/2021,11/20/2021
4,Chelsea,ENG,1,1956.729492,11/21/2021,11/23/2021
4,Chelsea,ENG,1,1969.956299,11/24/2021,11/24/2021
4,Chelsea,ENG,1,1972.503906,11/25/2021,11/25/2021
4,Chelsea,ENG,1,1968.863892,11/26/2021,11/28/2021
4,Chelsea,ENG,1,1965.556274,11/29/2021,12/1/2021
4,Chelsea,ENG,1,1968.405029,12/2/2021,12/4/2021
4,Chelsea,ENG,1,1958.054932,12/5/2021,12/7/2021
5,Chelsea,ENG,1,1955.714966,12/8/2021,12/8/2021
5,Chelsea,ENG,1,1946.214722,12/9/2021,12/9/2021
5,Chelsea,ENG,1,1940.059082,12/10/2021,12/11/2021
5,Chelsea,ENG,1,1943.056396,12/12/2021,12/16/2021
5,Chelsea,ENG,1,1936.786865,12/17/2021,12/19/2021
5,Chelsea,ENG,1,1932.594238,12/20/2021,12/26/2021
5,Chelsea,ENG,1,1938.984131,12/27/2021,12/29/2021
5,Chelsea,ENG,1,1932.705933,12/30/2021,1/2/2022
5,Chelsea,ENG,1,1933.254395,1/3/2022,1/15/2022
5,Chelsea,ENG,1,1928.34082,1/16/2022,1/18/2022
5,Chelsea,ENG,1,1924.257324,1/19/2022,1/23/2022
5,Chelsea,ENG,1,1930.501221,1/24/2022,2/15/2022
5,Chelsea,ENG,1,1931.467041,2/16/2022,2/16/2022
4,Chelsea,ENG,1,1933.503906,2/17/2022,2/17/2022
5,Chelsea,ENG,1,1933.935791,2/18/2022,2/19/2022
4,Chelsea,ENG,1,1937.926147,2/20/2022,2/22/2022
4,Chelsea,ENG,1,1942.280029,2/23/2022,2/23/2022
4,Chelsea,ENG,1,1942.773926,2/24/2022,2/24/2022
4,Chelsea,ENG,1,1943.118408,2/25/2022,3/5/2022
4,Chelsea,ENG,1,1950.482178,3/6/2022,3/8/2022
4,Chelsea,ENG,1,1949.862427,3/9/2022,3/9/2022
5,Chelsea,ENG,1,1950.146973,3/10/2022,3/10/2022
5,Chelsea,ENG,1,1953.918457,3/11/2022,3/13/2022
5,Chelsea,ENG,1,1956.465698,3/14/2022,3/15/2022
5,Chelsea,ENG,1,1952.401001,3/16/2022,3/16/2022
5,Chelsea,ENG,1,1955.828491,3/17/2022,3/17/2022
5,Chelsea,ENG,1,1960.76001,3/18/2022,3/20/2022
4,Chelsea,ENG,1,1960.76001,3/21/2022,4/2/2022
5,Chelsea,ENG,1,1933.772949,4/3/2022,4/5/2022
5,Chelsea,ENG,1,1934.901978,4/6/2022,4/6/2022
6,Chelsea,ENG,1,1920.698853,4/7/2022,4/7/2022
6,Chelsea,ENG,1,1919.12915,4/8/2022,4/9/2022
5,Chelsea,ENG,1,1929.347534,4/10/2022,4/12/2022
5,Chelsea,ENG,1,1931.551147,4/13/2022,4/13/2022
5,Chelsea,ENG,1,1932.559204,4/14/2022,4/14/2022
5,Chelsea,ENG,1,1940.485718,4/15/2022,4/20/2022
5,Chelsea,ENG,1,1924.35376,4/21/2022,4/24/2022
5,Chelsea,ENG,1,1928.926636,4/25/2022,4/26/2022
5,Chelsea,ENG,1,1929.782593,4/27/2022,4/27/2022
5,Chelsea,ENG,1,1930.53772,4/28/2022,4/28/2022
5,Chelsea,ENG,1,1925.976196,4/29/2022,5/1/2022
5,Chelsea,ENG,1,1913.151489,5/2/2022,5/3/2022
5,Chelsea,ENG,1,1913.755371,5/4/2022,5/4/2022
5,Chelsea,ENG,1,1908.968872,5/5/2022,5/5/2022
5,Chelsea,ENG,1,1903.188232,5/6/2022,5/7/2022
5,Chelsea,ENG,1,1897.844727,5/8/2022,5/11/2022
5,Chelsea,ENG,1,1905.290039,5/12/2022,5/19/2022
5,Chelsea,ENG,1,1900.558105,5/20/2022,5/22/2022
5,Chelsea,ENG,1,1902.095581,5/23/2022,5/28/2022
5,Chelsea,ENG,1,1899.036499,5/29/2022,8/6/2022
5,Chelsea,ENG,1,1903.334106,8/7/2022,8/14/2022
5,Chelsea,ENG,1,1900.970459,8/15/2022,8/18/2022
5,Chelsea,ENG,1,1901.238281,8/19/2022,8/21/2022
6,Chelsea,ENG,1,1881.616699,8/22/2022,8/25/2022
6,Chelsea,ENG,1,1882.083008,8/26/2022,8/27/2022
5,Chelsea,ENG,1,1885.846191,8/28/2022,8/28/2022
6,Chelsea,ENG,1,1885.846191,8/29/2022,8/30/2022
9,Chelsea,ENG,1,1873.863892,8/31/2022,8/31/2022
10,Chelsea,ENG,1,1873.863892,9/1/2022,9/3/2022
10,Chelsea,ENG,1,1878.005127,9/4/2022,9/4/2022
9,Chelsea,ENG,1,1878.005127,9/5/2022,9/6/2022
11,Chelsea,ENG,1,1865.361572,9/7/2022,9/7/2022
12,Chelsea,ENG,1,1860.735962,9/8/2022,9/8/2022
12,Chelsea,ENG,1,1858.504883,9/9/2022,9/13/2022
12,Chelsea,ENG,1,1855.806763,9/14/2022,9/14/2022
14,Chelsea,ENG,1,1850.738525,9/15/2022,9/15/2022
12,Chelsea,ENG,1,1852.814453,9/16/2022,10/1/2022
11,Chelsea,ENG,1,1859.609253,10/2/2022,10/4/2022
10,Chelsea,ENG,1,1859.810547,10/5/2022,10/5/2022
9,Chelsea,ENG,1,1873.741577,10/6/2022,10/6/2022
8,Chelsea,ENG,1,1876.509888,10/7/2022,10/8/2022
8,Chelsea,ENG,1,1882.029541,10/9/2022,10/11/2022
6,Chelsea,ENG,1,1895.460571,10/12/2022,10/12/2022
6,Chelsea,ENG,1,1898.623413,10/13/2022,10/13/2022
6,Chelsea,ENG,1,1900.344116,10/14/2022,10/16/2022
6,Chelsea,ENG,1,1907.614746,10/17/2022,10/19/2022
6,Chelsea,ENG,1,1904.215576,10/20/2022,10/20/2022
6,Chelsea,ENG,1,1905.088623,10/21/2022,10/22/2022
6,Chelsea,ENG,1,1901.567139,10/23/2022,10/25/2022
6,Chelsea,ENG,1,1907.51001,10/26/2022,10/26/2022
6,Chelsea,ENG,1,1908.933838,10/27/2022,10/27/2022
5,Chelsea,ENG,1,1905.174194,10/28/2022,10/29/2022
8,Chelsea,ENG,1,1887.485474,10/30/2022,11/1/2022
7,Chelsea,ENG,1,1891.209717,11/2/2022,11/2/2022
6,Chelsea,ENG,1,1894.569946,11/3/2022,11/3/2022
7,Chelsea,ENG,1,1897.924805,11/4/2022,11/5/2022
8,Chelsea,ENG,1,1897.924805,11/6/2022,11/6/2022
8,Chelsea,ENG,1,1888.710571,11/7/2022,11/12/2022
9,Chelsea,ENG,1,1880.488281,11/13/2022,12/27/2022
8,Chelsea,ENG,1,1884.152832,12/28/2022,1/1/2023
8,Chelsea,ENG,1,1878.464233,1/2/2023,1/5/2023
9,Chelsea,ENG,1,1873.384766,1/6/2023,1/12/2023
11,Chelsea,ENG,1,1862.153809,1/13/2023,1/15/2023
10,Chelsea,ENG,1,1866.501343,1/16/2023,1/21/2023
10,Chelsea,ENG,1,1870.237793,1/22/2023,1/22/2023
9,Chelsea,ENG,1,1870.237793,1/23/2023,2/3/2023
10,Chelsea,ENG,1,1865.202148,2/4/2023,2/5/2023
11,Chelsea,ENG,1,1865.202148,2/6/2023,2/8/2023
10,Chelsea,ENG,1,1865.202148,2/9/2023,2/11/2023
9,Chelsea,ENG,1,1863.180908,2/12/2023,2/14/2023
9,Chelsea,ENG,1,1861.832275,2/15/2023,2/15/2023
9,Chelsea,ENG,1,1856.377075,2/16/2023,2/16/2023
10,Chelsea,ENG,1,1856.996826,2/17/2023,2/18/2023
13,Chelsea,ENG,1,1842.740723,2/19/2023,2/21/2023
15,Chelsea,ENG,1,1838.264282,2/22/2023,2/22/2023
14,Chelsea,ENG,1,1838.328857,2/23/2023,2/23/2023
14,Chelsea,ENG,1,1841.257446,2/24/2023,2/26/2023
16,Chelsea,ENG,1,1831.911499,2/27/2023,3/4/2023
15,Chelsea,ENG,1,1835.630127,3/5/2023,3/7/2023
11,Chelsea,ENG,1,1854.411255,3/8/2023,3/8/2023
10,Chelsea,ENG,1,1851.983643,3/9/2023,3/9/2023
10,Chelsea,ENG,1,1855.044312,3/10/2023,3/11/2023
10,Chelsea,ENG,1,1864.776611,3/12/2023,3/14/2023
9,Chelsea,ENG,1,1867.655884,3/15/2023,3/15/2023
10,Chelsea,ENG,1,1865.977783,3/16/2023,3/16/2023
10,Chelsea,ENG,1,1865.443848,3/17/2023,3/18/2023
10,Chelsea,ENG,1,1859.498169,3/19/2023,3/19/2023
9,Chelsea,ENG,1,1859.498169,3/20/2023,4/1/2023
13,Chelsea,ENG,1,1842.723022,4/2/2023,4/2/2023
12,Chelsea,ENG,1,1842.723022,4/3/2023,4/4/2023
12,Chelsea,ENG,1,1843.552979,4/5/2023,4/8/2023
13,Chelsea,ENG,1,1833.022217,4/9/2023,4/11/2023
13,Chelsea,ENG,1,1835.801392,4/12/2023,4/12/2023
15,Chelsea,ENG,1,1827.956177,4/13/2023,4/13/2023
16,Chelsea,ENG,1,1827.184204,4/14/2023,4/15/2023
19,Chelsea,ENG,1,1817.658081,4/16/2023,4/18/2023
21,Chelsea,ENG,1,1809.386841,4/19/2023,4/19/2023
20,Chelsea,ENG,1,1810.117065,4/20/2023,4/20/2023
22,Chelsea,ENG,1,1804.650879,4/21/2023,4/26/2023
24,Chelsea,ENG,1,1789.972534,4/27/2023,5/2/2023
24,Chelsea,ENG,1,1784.505127,5/3/2023,5/6/2023
23,Chelsea,ENG,1,1794.007935,5/7/2023,5/9/2023
23,Chelsea,ENG,1,1794.129272,5/10/2023,5/11/2023
23,Chelsea,ENG,1,1794.818481,5/12/2023,5/13/2023
23,Chelsea,ENG,1,1789.638672,5/14/2023,5/17/2023
23,Chelsea,ENG,1,1792.306274,5/18/2023,5/18/2023
23,Chelsea,ENG,1,1794.312012,5/19/2023,5/20/2023
24,Chelsea,ENG,1,1794.312012,5/21/2023,5/21/2023
24,Chelsea,ENG,1,1792.634399,5/22/2023,5/25/2023
25,Chelsea,ENG,1,1783.350952,5/26/2023,5/28/2023
24,Chelsea,ENG,1,1784.5448,5/29/2023,6/4/2023
25,Chelsea,ENG,1,1784.5448,6/5/2023,6/7/2023
25,Chelsea,ENG,1,1786.947388,6/8/2023,6/10/2023
25,Chelsea,ENG,1,1788.094604,6/11/2023,8/12/2023
24,Chelsea,ENG,1,1788.094604,8/13/2023,8/13/2023
23,Chelsea,ENG,1,1791.018311,8/14/2023,8/20/2023
25,Chelsea,ENG,1,1780.893799,8/21/2023,8/23/2023
25,Chelsea,ENG,1,1781.043701,8/24/2023,8/25/2023
24,Chelsea,ENG,1,1786.376831,8/26/2023,8/31/2023
24,Chelsea,ENG,1,1786.469727,9/1/2023,9/2/2023
27,Chelsea,ENG,1,1774.221436,9/3/2023,9/17/2023
27,Chelsea,ENG,1,1772.329712,9/18/2023,9/19/2023
28,Chelsea,ENG,1,1772.915039,9/20/2023,9/20/2023
27,Chelsea,ENG,1,1773.466309,9/21/2023,9/21/2023
28,Chelsea,ENG,1,1764.918213,9/22/2023,9/24/2023
32,Chelsea,ENG,1,1756.803101,9/25/2023,9/27/2023
33,Chelsea,ENG,1,1756.803101,9/28/2023,9/30/2023
34,Chelsea,ENG,1,1756.803101,10/1/2023,10/2/2023
28,Chelsea,ENG,1,1769.172607,10/3/2023,10/3/2023
32,Chelsea,ENG,1,1761.525146,10/4/2023,10/4/2023
29,Chelsea,ENG,1,1766.345825,10/5/2023,10/5/2023
27,Chelsea,ENG,1,1769.164673,10/6/2023,10/7/2023
27,Chelsea,ENG,1,1782.069702,10/8/2023,10/8/2023
26,Chelsea,ENG,1,1782.069702,10/9/2023,10/21/2023
26,Chelsea,ENG,1,1784.990112,10/22/2023,10/24/2023
25,Chelsea,ENG,1,1787.370605,10/25/2023,10/25/2023
25,Chelsea,ENG,1,1784.447998,10/26/2023,10/26/2023
24,Chelsea,ENG,1,1785.814819,10/27/2023,10/28/2023
29,Chelsea,ENG,1,1772.819336,10/29/2023,10/29/2023
28,Chelsea,ENG,1,1772.819336,10/30/2023,10/30/2023
29,Chelsea,ENG,1,1772.819336,10/31/2023,11/3/2023
28,Chelsea,ENG,1,1772.819336,11/4/2023,11/4/2023
27,Chelsea,ENG,1,1772.819336,11/5/2023,11/6/2023
24,Chelsea,ENG,1,1793.342651,11/7/2023,11/7/2023
24,Chelsea,ENG,1,1790.488647,11/8/2023,11/8/2023
25,Chelsea,ENG,1,1788.156006,11/9/2023,11/9/2023
24,Chelsea,ENG,1,1787.887085,11/10/2023,11/12/2023
24,Chelsea,ENG,1,1793.805664,11/13/2023,11/25/2023
25,Chelsea,ENG,1,1784.668213,11/26/2023,11/28/2023
25,Chelsea,ENG,1,1785.996216,11/29/2023,11/29/2023
25,Chelsea,ENG,1,1787.438477,11/30/2023,11/30/2023
25,Chelsea,ENG,1,1789.705688,12/1/2023,12/3/2023
25,Chelsea,ENG,1,1797.245605,12/4/2023,12/6/2023
25,Chelsea,ENG,1,1791.328369,12/7/2023,12/9/2023
24,Chelsea,ENG,1,1791.328369,12/10/2023,12/10/2023
26,Chelsea,ENG,1,1779.553467,12/11/2023,12/12/2023
26,Chelsea,ENG,1,1777.273071,12/13/2023,12/13/2023
26,Chelsea,ENG,1,1774.22998,12/14/2023,12/14/2023
29,Chelsea,ENG,1,1771.245728,12/15/2023,12/16/2023
26,Chelsea,ENG,1,1775.344482,12/17/2023,12/17/2023
27,Chelsea,ENG,1,1775.344482,12/18/2023,12/23/2023
28,Chelsea,ENG,1,1775.344482,12/24/2023,12/24/2023
29,Chelsea,ENG,1,1766.645996,12/25/2023,12/27/2023
28,Chelsea,ENG,1,1772.135864,12/28/2023,12/30/2023
27,Chelsea,ENG,1,1777.522339,12/31/2023,12/31/2023
27,Chelsea,ENG,1,1777.522339,1/1/2024,1/13/2024
27,Chelsea,ENG,1,1782.651855,1/14/2024,1/31/2024
28,Chelsea,ENG,1,1777.436035,2/1/2024,2/4/2024
32,Chelsea,ENG,1,1762.28125,2/5/2024,2/10/2024
33,Chelsea,ENG,1,1762.28125,2/11/2024,2/12/2024
28,Chelsea,ENG,1,1773.882446,2/13/2024,2/13/2024
28,Chelsea,ENG,1,1774.057251,2/14/2024,2/14/2024
29,Chelsea,ENG,1,1774.057251,2/15/2024,2/17/2024
28,Chelsea,ENG,1,1781.498901,2/18/2024,2/21/2024
29,Chelsea,ENG,1,1780.204346,2/22/2024,2/22/2024
27,Chelsea,ENG,1,1780.204346,2/23/2024,2/23/2024
26,Chelsea,ENG,1,1780.204346,2/24/2024,2/26/2024
28,Chelsea,ENG,1,1780.204346,2/27/2024,3/2/2024
28,Chelsea,ENG,1,1780.09021,3/3/2024,3/3/2024
27,Chelsea,ENG,1,1780.09021,3/4/2024,3/6/2024
27,Chelsea,ENG,1,1780.254395,3/7/2024,3/7/2024
27,Chelsea,ENG,1,1775.472656,3/8/2024,3/11/2024
25,Chelsea,ENG,1,1782.962158,3/12/2024,3/12/2024
25,Chelsea,ENG,1,1781.954102,3/13/2024,3/14/2024
25,Chelsea,ENG,1,1789.402466,3/15/2024,3/17/2024
26,Chelsea,ENG,1,1789.402466,3/18/2024,3/30/2024
27,Chelsea,ENG,1,1784.176758,3/31/2024,4/4/2024
22,Chelsea,ENG,1,1791.674683,4/5/2024,4/6/2024
24,Chelsea,ENG,1,1791.674683,4/7/2024,4/7/2024
25,Chelsea,ENG,1,1787.29541,4/8/2024,4/9/2024
25,Chelsea,ENG,1,1786.747925,4/10/2024,4/11/2024
28,Chelsea,ENG,1,1779.089966,4/12/2024,4/13/2024
29,Chelsea,ENG,1,1779.089966,4/14/2024,4/14/2024
27,Chelsea,ENG,1,1779.089966,4/15/2024,4/15/2024
24,Chelsea,ENG,1,1791.20459,4/16/2024,4/17/2024
26,Chelsea,ENG,1,1786.919067,4/18/2024,4/18/2024
25,Chelsea,ENG,1,1784.74707,4/19/2024,4/21/2024
24,Chelsea,ENG,1,1784.74707,4/22/2024,4/22/2024
26,Chelsea,ENG,1,1784.74707,4/23/2024,4/23/2024
27,Chelsea,ENG,1,1777.042358,4/24/2024,4/27/2024
27,Chelsea,ENG,1,1780.277344,4/28/2024,5/2/2024
27,Chelsea,ENG,1,1785.278809,5/3/2024,5/4/2024
28,Chelsea,ENG,1,1785.278809,5/5/2024,5/5/2024
22,Chelsea,ENG,1,1797.253906,5/6/2024,5/9/2024
23,Chelsea,ENG,1,1792.924927,5/10/2024,5/11/2024
22,Chelsea,ENG,1,1798.503906,5/12/2024,5/12/2024
21,Chelsea,ENG,1,1798.503906,5/13/2024,5/15/2024
19,Chelsea,ENG,1,1806.13916,5/16/2024,5/19/2024
18,Chelsea,ENG,1,1810.097168,5/20/2024,5/22/2024
19,Chelsea,ENG,1,1810.097168,5/23/2024,5/24/2024
18,Chelsea,ENG,1,1810.097168,5/25/2024,6/1/2024
17,Chelsea,ENG,1,1810.097168,6/2/2024,8/17/2024
17,Chelsea,ENG,1,1810.097168,8/18/2024,8/25/2024
17,Chelsea,ENG,1,1810.097168,8/26/2024,12/31/2024
